,Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Cast,Director
10,Loaded Weapon 1,1993,84 min,6.2,"Action, Comedy, Crime","47,425","A spoof on Lethal Weapon (1987), other movies, TV commercials etc. 2 unlike LA cops investigate a cocaine in girl scout cookies case.","['Lethal Weapon', 'Gene Quintano', 'Emilio Estevez', 'Samuel L. Jackson', 'Jon Lovitz', 'Tim Curry']",Gene Quintano
11,#Home,2021,158 min,9.0,Drama,"9,594",Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons who spend more time on their phones than with their loved ones.,"['Rojin Thomas', 'Indrans', 'Sreenath Bhasi', 'Manju Pillai', 'Naslen']",Indrans
12,Kipo and the Age of Wonderbeasts,2020,24 min,8.4,"Animation, Action, Adventure","4,331",A girl explores the possibilities in a post-apocalyptic world.,"['Karen Fukuhara', 'Sydney Mikayla', 'Dee Bradley Baker', 'Deon Cole']",Sydney Mikayla
13,Highlander II: The Quickening,1991,91 min,4.2,"Action, Adventure, Fantasy","45,012","In the future, Highlander Connor MacLeod must prevent the destruction of Earth under an anti-ozone shield.","['Russell Mulcahy', 'Christopher Lambert', 'Sean Connery', 'Virginia Madsen', 'Michael Ironside']",Christopher Lambert
14,6 Bullets,2012,115 min,6.1,"Action, Crime, Drama","14,649",An ex-mercenary known for finding missing children is hired by a mixed martial arts fighter whose daughter has been kidnapped.,"['Ernie Barbarash', 'Jean-Claude Van Damme', 'Joe Flanigan', 'Anna-Louise Plowman', 'Charlotte Beaumont']",Jean-Claude Van Damme
15,The Wanderers,1979,112 min,7.4,"Crime, Drama, Romance","10,691","The Wanderers is a teenage, Italian gang in Bronx, NYC, 1963. They have their confrontations with other gangs. Drugs and weapons are uncool. Adult life awaits them.","['Philip Kaufman', 'Ken Wahl', 'Karen Allen', 'John Friedrich', 'Toni Kalem']",Ken Wahl
16,Delicious,I 2016–2019,45 min,7.0,"Comedy, Drama","1,665","A drama series about food, love and infidelity in Cornwall.","['Iain Glen', 'Dawn French', 'Emilia Fox', 'Tanya Reynolds']",Dawn French
17,Brooklyn's Finest,2009,132 min,6.7,"Action, Crime, Drama","62,510",Three unconnected Brooklyn cops wind up at the same deadly location after enduring vastly different career paths.,"['Antoine Fuqua', 'Richard Gere', 'Don Cheadle', 'Ethan Hawke', 'Wesley Snipes']",Richard Gere
18, Mystery 101,2019– ,84 min,7.4,"Crime, Drama, Mystery",372,"Amy and Travis travel to New York to investigate after Amy's uncle goes missing, and the initial clues make them fear the worst.","['X', 'Stacey N. Harding', 'Jill Wagner', 'Kristoffer Polaha', 'Robin Thomas', 'Lorne Cardinal']",Stacey N. Harding
19,Birth,2004,100 min,6.2,"Drama, Fantasy, Mystery","35,779",A young boy attempts to convince a woman that he is her dead husband reborn.,"['Jonathan Glazer', 'Nicole Kidman', 'Cameron Bright', 'Lauren Bacall', 'Danny Huston']",Nicole Kidman
20,Herbie Fully Loaded,2005,101 min,4.8,"Adventure, Comedy, Family","46,649","Maggie Peyton, the new owner of Herbie, Number 53, the free-wheelin' Volkswagen bug with a mind of its own, puts the car through its paces on the road to becoming a NASCAR competitor.","['Angela Robinson', 'Lindsay Lohan', 'Michael Keaton', 'Cheryl Hines', 'Breckin Meyer']",Lindsay Lohan
21,I Could Never Be Your Woman,2007,97 min,6.0,"Comedy, Drama, Romance","17,623",A mother falls for a younger man while her daughter falls in love for the first time. Mother Nature messes with their fates.,"['Amy Heckerling', 'Michelle Pfeiffer', 'Paul Rudd', 'Saoirse Ronan', 'Tracey Ullman']",Michelle Pfeiffer
22,Lap Dance,2014,100 min,4.8,Drama,"3,567","An aspiring actress makes a pact with her fiancé to take a job as an exotic dancer to care for her cancer stricken father. Once the pact the couple made is broken, their lives are changed forever. Based on the true story of director Greg Carter and his girlfriend prior to their moving to Los Angeles in 2005.","['Greg Carter', 'Ali Cobrin', 'Carmen Electra', 'Stacey Dash', 'James Remar']",Ali Cobrin
23,Shrek the Musical,2013,130 min,7.0,"Comedy, Family, Fantasy","3,318",Make room for ogre-sized family fun as the greatest fairy tale never told comes to life in a whole new way in this breathtaking Broadway musical adaptation of the hit movie Shrek!,"['Michael John Warren', ""Brian d'Arcy James"", 'Sutton Foster', 'Christopher Sieber', 'John Tartaglia']",Brian d'Arcy James
24,Children of a Lesser God,1986,119 min,7.2,"Drama, Romance","15,921","A new speech teacher at a school for the deaf falls in love with the janitor, a deaf woman speechless by choice.","['Randa Haines', 'William Hurt', 'Marlee Matlin', 'Piper Laurie', 'Philip Bosco']",William Hurt
25,Our Souls at Night,2017,103 min,6.9,"Drama, Romance","12,757","Fonda and Redford star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neighbor.","['Ritesh Batra', 'Robert Redford', 'Jane Fonda', 'Matthias Schoenaerts', 'Iain Armitage']",Robert Redford
26,Satanic Panic,2019,85 min,5.6,"Comedy, Horror","5,120",A pizza delivery girl at the end of her financial rope has to fight for her life - and her tips - when her last order of the night turns out to be high society Satanists in need of a virgin sacrifice.,"['Chelsea Stardust', 'Rebecca Romijn', 'Arden Myrin', 'Hayley Griffith', 'Ruby Modine']",Rebecca Romijn
27,X-Ray: Selected Satyajit Shorts,2021– ,65 min,7.2,"Crime, Drama, Thriller","8,008","From a satire to a psychological thriller, four short stories from celebrated auteur and writer Satyajit Ray are adapted for the screen in this series.","['Manoj Bajpayee', 'Ali Fazal', 'Harshvardhan Kapoor', 'Kay Kay Menon']",Ali Fazal
28,L.A. Noire,2011 Video Game,Not given,8.7,"Action, Crime, Drama","14,818","Cole Phelps, a war hero and rookie cop, moves up the ranks and solves dark cases in 1940s Los Angeles.","['Brendan McNamara', 'Aaron Staton', 'Michael McGrady', 'Adam J. Harrington', 'Sean McGowan']",Aaron Staton
29,National Security,2003,88 min,5.6,"Action, Comedy, Crime","49,564",Two mismatched security guards are thrown together to bust a smuggling operation.,"['Dennis Dugan', 'Martin Lawrence', 'Steve Zahn', 'Colm Feore', 'Bill Duke']",Martin Lawrence
30,Mugen no jûnin,2017,140 min,6.8,"Action, Drama, Fantasy","16,730","Cursed with a life of immortality, a samurai is tasked by a young girl to help avenge the death of her father. Based on the manga series by Hiroaki Samura.","['Takashi Miike', 'Takuya Kimura', 'Hana Sugisaki', 'Sôta Fukushi', 'Hayato Ichihara']",Takuya Kimura
31,Into the Forest,2015,101 min,5.8,"Drama, Thriller","20,120","After a massive power outage, two sisters learn to survive on their own in their isolated woodland home.","['Patricia Rozema', 'Elliot Page', 'Evan Rachel Wood', 'Max Minghella', 'Callum Keith Rennie']",Elliot Page
32,Destiny 2,2017 Video Game,Not given,7.6,"Action, Adventure, Fantasy","2,780","Humanity's last safe city has fallen to an overwhelming invasion force, led by Ghaul, the imposing commander of the brutal Red Legion. He has stripped the city's Guardians of their power, and forced the survivors to flee.","['Christopher Barrett', 'Luke Smith', 'Ryan Ellis', 'Jim McQuillan', 'Nathan Fillion', 'Lance Reddick', 'Gina Torres', 'Nolan North']",Luke Smith
33,The Family,I 2016,60 min,7.5,"Drama, Mystery","4,969","A community is rattled when a politician's son, who was presumed murdered years ago, returns home.","['Joan Allen', 'Rupert Graves', 'Alison Pill', 'Margot Bingham']",Rupert Graves
34,Sidekicks,1992,101 min,5.2,"Action, Adventure, Comedy","8,503",A bullied teen who fantasizes about being Chuck Norris' sidekick trains in martial arts to fulfill his dreams.,"['Aaron Norris', 'Chuck Norris', 'Beau Bridges', 'Jonathan Brandis', 'Mako']",Chuck Norris
35,Home Fires,2015–2016,45 min,8.2,"Drama, War","3,562",A drama following a group of inspirational women in a rural Cheshire community during World War II.,"['Clare Calbraith', 'Brian Fletcher', 'Samantha Bond', 'Ruth Gemmell']",Brian Fletcher
36,Cats,1998,120 min,7.4,Musical,"5,287","""Jellicle"" cats join for a Jellicle ball where they rejoice with their leader, Old Deuteronomy. One cat will be chosen to go to the ""Heavyside Layer"" and be reborn. The cats introduce themselves.","['David Mallet', 'Elaine Paige', 'John Mills', 'Ken Page', 'Rosemarie Ford']",Elaine Paige
37,Broken,2017– ,60 min,8.1,Drama,"2,839","Father Michael, a Catholic priest presiding over a Northern urban parish who is Modern, maverick, and reassuringly flawed; must be confidant, counsellor and confessor to a congregation ...                See full summary »","['See full summary', 'Sean Bean', 'Fin Campbell', 'Adrian Dunbar', 'Sam Rintoul']",Sean Bean
38,Ghoul,2018,45 min,7.1,"Drama, Fantasy, Horror","13,339","In a totalitarian near-future India, a mysterious prisoner is sent to a remote military interrogation center where he turns the tables on his captors by exposing their most shameful secrets and unleashing a demon from Arabic folklore.","['Radhika Apte', 'Manav Kaul', 'Rohit Pathak', 'Ratnabali Bhattacharjee']",Manav Kaul
39,Tiger House,2015,80 min,5.2,"Action, Crime, Drama","4,348","Kelly sneaks into her boyfriend's house but tonight, she's not the only unwelcome visitor. As the situation spirals out of control, the suburban house becomes a terrifying arena for violence.","['Thomas Daley', 'Kaya Scodelario', 'Ed Skrein', 'Dougray Scott', 'Daniel Boyd']",Kaya Scodelario
40,For the People,2018–2019,43 min,7.3,Drama,"5,226","Set in the Southern District of New York Federal Court, brand new lawyers work for both the defense and the prosecution as they handle the most high profile and high stakes cases in the country - all as their personal lives intersect.","['Hope Davis', 'Ben Shenkman', 'Jasmin Savoy Brown', 'Susannah Flood']",Ben Shenkman
41,Harsh Times,2005,116 min,6.9,"Action, Crime, Drama","64,647",A tough-minded drama about two friends in South Central Los Angeles and the violence that comes between them.,"['David Ayer', 'Christian Bale', 'Freddy Rodríguez', 'Eva Longoria', 'Chaka Forman']",Christian Bale
42,Trautmann,2018,120 min,7.3,"Biography, Drama, Romance","4,621","The love story of a young English woman and a German PoW, who together overcome prejudice, public hostility and personal tragedy.","['Marcus H. Rosenmüller', 'David Kross', 'Freya Mavor', 'John Henshaw', 'Harry Melling']",David Kross
43,The Wisdom of Trauma,2021,87 min,8.1,Documentary,695,"1 in 5 Americans are diagnosed with mental illness every year. Suicide is the second most common cause of death in the US for youth aged 15-24, and kills over 48,300 in the US and 800,000 ...                See full summary »","['See full summary', 'Maurizio Benazzo', 'Zaya Benazzo', 'Russell Brand', 'James Doty', 'Tim Ferriss', 'Gabor Maté']",Maurizio Benazzo
44,Fast & Furious Spy Racers,2019– ,23 min,5.5,"Animation, Action, Crime","1,277",A team of teenage street racers are hired to infiltrate a criminal gang.,"['Tyler Posey', 'Charlet Takahashi Chung', 'Jorge Diaz', 'Luke Youngblood']",Charlet Takahashi Chung
45,Beyond the Law,2019,89 min,4.0,"Action, Crime","2,327",A former mobster turned businessman and a police detective must contend with a dirty ex-cop looking to bring the killer of his son to justice.,"['James Cullen Bressack', 'Johnny Messner', 'Steven Seagal', 'DMX', 'Bill Cobbs']",Johnny Messner
46,Zoom,2006,93 min,4.4,"Action, Adventure, Comedy","20,500",Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.,"['Peter Hewitt', 'Tim Allen', 'Courteney Cox', 'Chevy Chase', 'Spencer Breslin']",Tim Allen
47,Jerks,2017– ,22 min,8.5,Comedy,"2,686","The series is about Christian Ulmen and Fahri Yardim, who are very close friends. Both try to cope with their everyday problems with ease, which does not always work out.","['Christian Ulmen', 'Fahri Yardim', 'Pheline Roggan', 'Collien Ulmen-Fernandes']",Fahri Yardim
48,Innocent Blood,1992,112 min,6.2,"Action, Comedy, Crime","9,849","Marie is a vampire with a thirst for bad guys. When she fails to properly dispose of one of her victims, a violent mob boss, she bites off more than she can chew and faces a new, immortal danger.","['John Landis', 'Anne Parillaud', 'Anthony LaPaglia', 'Robert Loggia', 'David Proval']",Anne Parillaud
49,El cadáver de Anna Fritz,2015,76 min,6.0,"Drama, Thriller","5,479","Anna Fritz, a famous and beautiful actress, has died recently. Three young men sneak into the morgue to see her naked, fascinated by her beauty.","['Hèctor Hernández Vicens', 'Alba Ribas', 'Cristian Valencia', 'Albert Carbó', 'Bernat Saumell']",Alba Ribas
50,The Freebie,2010,78 min,5.2,"Comedy, Drama","1,708","A young couple decides to give each other a night off, no questions asked.","['Katie Aselton', 'Katie Aselton', 'Dax Shepard', 'Maggie Phillips', 'Joshua Leonard']",Katie Aselton
51,Kaiji: Jinsei gyakuten gêmu,2009,130 min,6.4,Drama,"1,634","Kaiji, a young gambler who is constantly in debt, enters a deadly gambling competition in order to wipe away his loans.","['Tôya Satô', 'Tatsuya Fujiwara', ""Ken'ichi Matsuyama"", 'Tarô Yamamoto', 'Yûki Amami']",Tatsuya Fujiwara
52,Lamb,I 2015,97 min,6.3,Drama,"2,005",When a man meets a young girl in a parking lot he attempts to help her avoid a bleak destiny by initiating her into the beauty of the outside world. The journey shakes them in ways neither expects.,"['Ross Partridge', 'Ross Partridge', 'Oona Laurence', 'Jess Weixler', 'Tom Bower']",Ross Partridge
53,The Santa Clause 2,2002,104 min,5.7,"Comedy, Family, Fantasy","53,180","Scott Calvin has been a humble Santa Claus for nearly ten years, but it might come to an end if he doesn't find a Mrs. Claus.","['Michael Lembeck', 'Tim Allen', 'Spencer Breslin', 'Elizabeth Mitchell', 'Eric Lloyd']",Tim Allen
54,The Ghost & Mrs. Muir,1968–1970,30 min,7.7,"Comedy, Fantasy","1,231","Derived from the 1947 movie with the same name, a house is haunted by a deceased sea captain who wreaks havoc with the new tenants who were not advised of his existence.","['Hope Lange', 'Edward Mulhare', 'Reta Shaw', 'Harlen Carraher']",Edward Mulhare
55,The Sand Pebbles,1966,182 min,7.6,"Adventure, Drama, Romance","14,297","In 1926, a U.S. Naval engineer gets assigned to a gunboat on a rescue mission in war-torn China.","['Robert Wise', 'Steve McQueen', 'Richard Attenborough', 'Richard Crenna', 'Candice Bergen']",Steve McQueen
56,The Limey,1999,89 min,7.0,"Crime, Drama, Mystery","31,737",An extremely volatile and dangerous Englishman goes to Los Angeles to find the man he considers responsible for his daughter's death.,"['Steven Soderbergh', 'Terence Stamp', 'Peter Fonda', 'Lesley Ann Warren', 'Luis Guzmán']",Terence Stamp
57,Lady Chatterley's Lover,1981,104 min,5.2,"Drama, Romance","2,707","After a crippling injury leaves her husband impotent, Lady Chatterly is torn between her love for her husband and her physical desires. With her husband's consent, she seeks out other means of fulfilling her needs.","['Just Jaeckin', 'Sylvia Kristel', 'Shane Briant', 'Nicholas Clay', 'Ann Mitchell']",Sylvia Kristel
58,Money Plane,2020,82 min,3.2,"Action, Crime, Thriller","4,998",A professional thief with $40 million in debt and his family's life on the line must commit one final heist - rob a futuristic airborne casino filled with the world's most dangerous criminals.,"['Andrew Lawrence', 'Adam Copeland', 'Kelsey Grammer', 'Thomas Jane', 'Denise Richards']",Adam Copeland
59,Welcome Back Future,2021,1 min,6.5,Short,73,"Our world is going through challenging times, and we are all called upon to take action for a better, brighter future. Leonardo DiCaprio invites viewers to embrace new electric and sustainable mobility, becoming drivers for change.","['James Gray', 'Leonardo DiCaprio']",Leonardo DiCaprio
60,Rebecka Martinsson,2017– ,45 min,7.2,"Crime, Drama, Mystery","2,470",When a childhood friend suddenly dies Rebecka Martinsson returns home to the north of Kiruna. But not everything is what it seems.,"['Eva Melander', 'Jakob Öhrman', 'Ardalan Esmaili', 'Thomas Oredsson']",Jakob Öhrman
61,The Tragedy of Macbeth,1971,140 min,7.4,"Biography, Drama, History","13,248",A ruthlessly ambitious Scottish lord seizes the throne with the help of his scheming wife and a trio of witches.,"['Roman Polanski', 'Jon Finch', 'Francesca Annis', 'Martin Shaw', 'Terence Bayler']",Jon Finch
62,Valentino,1977,128 min,6.1,"Biography, Drama","1,858",The life of 1920s movie star and sex symbol Rudolph Valentino.,"['Ken Russell', 'Rudolf Nureyev', 'Leslie Caron', 'Michelle Phillips', 'Carol Kane']",Rudolf Nureyev
63,Day of the Dead: Bloodline,2017,90 min,3.4,"Action, Drama, Horror","11,517",A small group of military personnel and survivalists dwell in an underground bunker as they seek to find a cure in a world overrun by zombies.,"['Hèctor Hernández Vicens', 'Sophie Skelton', 'Johnathon Schaech', 'Jeff Gum', 'Marcus Vanco']",Sophie Skelton
64,Above the Law,1988,99 min,6.0,"Action, Crime, Drama","30,519","A former Special Operations Vietnam vet works as a Chicago cop, and uncovers C.I.A. wrongdoing.","['Andrew Davis', 'Steven Seagal', 'Pam Grier', 'Henry Silva', 'Ron Dean']",Steven Seagal
65,Kirstie,2013–2014,30 min,5.0,Comedy,870,"After his adoptive mother dies, a 26-year-old man tries to connect with his biological mother, a Broadway star.","['Kirstie Alley', 'Eric Petersen', 'Michael Richards', 'Rhea Perlman']",Eric Petersen
66,Ticks,1993,85 min,5.4,"Horror, Sci-Fi","4,521","A group of troubled teenagers are led by social workers on a California wilderness retreat, not knowing that the woods they are camping in have become infested by mutated, blood-sucking ticks.","['Tony Randel', 'Rosalind Allen', 'Ami Dolenz', 'Seth Green', 'Virginya Keehne']",Rosalind Allen
67,Embattled,2020,117 min,6.5,"Action, Drama, Sport","2,171","A son aspires to follow in his famous MMA father's footsteps, but along his journey must figure out how to break the abusive cycle, if possible, that his father has continued.","['Nick Sarkisov', 'Elizabeth Reaser', 'Stephen Dorff', 'Drew Scheid', 'Donald Faison']",Elizabeth Reaser
68,The City of the Dead,1960,78 min,6.8,"Horror, Mystery, Thriller","6,857","A young college student arrives in a sleepy Massachusetts town to research witchcraft; during her stay at an eerie inn, she discovers a startling secret about the town and its inhabitants.","['John Llewellyn Moxey', 'Patricia Jessel', 'Dennis Lotis', 'Christopher Lee', 'Tom Naylor']",Patricia Jessel
69,Beirut,2018,110 min,6.5,"Action, Crime, Drama","20,557","Caught in the crossfires of civil war, CIA operatives must send a former U.S. diplomat to negotiate for the life of a friend he left behind.","['Brad Anderson', 'Jon Hamm', 'Jay Potter', 'Khalid Benchagra', 'Ania Josse']",Jon Hamm
70,Knockaround Guys,2001,92 min,6.1,"Crime, Drama, Thriller","23,455","The wannabe sons of mobsters go to a remote town in the Midwest, and get themselves into more trouble than anyone could anticipate.","['Brian Koppelman', 'David Levien', 'Jennifer Baxter', 'Dennis Hopper', 'Vin Diesel', 'Barry Pepper']",David Levien
71,Kagemusha,1980,180 min,8.0,"Drama, History, War","34,310",A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,"['Akira Kurosawa', 'Tatsuya Nakadai', 'Tsutomu Yamazaki', ""Ken'ichi Hagiwara"", 'Jinpachi Nezu']",Tatsuya Nakadai
72,The Hunting,2019,Not given,7.2,Drama,695,"When two high school teachers discover students are sharing explicit photos of their underage friends and peers online, the revelation has devastating consequences for the students and their families.","['Alex Cusack', 'Sam Reid', 'Yazeed Daher', 'Kavitha Anandasivam']",Sam Reid
73,Brüno,2009,81 min,5.8,Comedy,"146,893",Flamboyant and gay Austrian Brüno looks for new fame in America.,"['Larry Charles', 'Sacha Baron Cohen', 'Gustaf Hammarsten', 'Clifford Bañagale', 'Chibundu Orukwowu']",Sacha Baron Cohen
74,Escape from Pleasure Planet,2016 Video,81 min,3.7,"Action, Comedy, Fantasy",432,"A Princess has her erotic vacation interrupted when a renegade alien force, led by her arch enemy, Aria, attacks Pleasure Planet. A quick escape lands her in even more hot water as the Princess and her busty bodyguard crash land on Earth.","['Terrance Ryker', 'Blair Williams', 'Vanessa Cage', 'Veronica Vain', 'Erika Jordan']",Blair Williams
75,Crime Scene: The Vanishing at the Cecil Hotel,2021,219 min,5.9,"Documentary, Crime, Mystery","15,727","College student and tourist Elisa Lam vanishes, leaving behind all of her possessions in her hotel room. The Cecil Hotel grows in infamy.","['Tim Marcia', 'Amy Price', 'Greg Kading', 'Josh Dean']",Amy Price
76,"Hush...Hush, Sweet Charlotte",1964,133 min,7.6,"Crime, Drama, Mystery","13,912","An aging, reclusive Southern belle plagued by a horrifying family secret descends into madness after the arrival of a lost relative.","['Robert Aldrich', 'Bette Davis', 'Olivia de Havilland', 'Joseph Cotten', 'Agnes Moorehead']",Bette Davis
77,Mandela: Long Walk to Freedom,2013,141 min,7.1,"Biography, Drama, History","27,358",A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,"['Justin Chadwick', 'Idris Elba', 'Naomie Harris', 'Terry Pheto', 'Robert Hobbs']",Idris Elba
78,Lost Horizon,1973,150 min,5.3,"Adventure, Drama, Fantasy","2,415","While escaping war-torn China, a group of Europeans crash in the Himalayas, where they are rescued and taken to the mysterious Valley of the Blue Moon, Shangri-La.","['Charles Jarrott', 'Peter Finch', 'Liv Ullmann', 'Sally Kellerman', 'George Kennedy']",Peter Finch
79,Powers,2015–2016,42 min,6.7,"Action, Crime, Drama","6,359","Set in a world where humans and super heroes co-exist, a homicide detective, who had his own powers taken from him, investigates crimes involving superhumans along with his partner.","['Sharlto Copley', 'Susan Heyward', 'Noah Taylor', 'Eddie Izzard']",Susan Heyward
80,The Late Show with Stephen Colbert,2015– ,41 min,7.1,"Comedy, Talk-Show","12,983","Stephen Colbert took over as host, executive producer and writer of THE LATE SHOW on Tuesday, Sept. 8, 2015. The comedy-variety-talk show is broadcast five nights a week from the Ed Sullivan theater in New York.","['Stephen Colbert', 'Jon Batiste', 'Stay Human', 'Jen Spyra']",Jon Batiste
81,Naissance des pieuvres,2007,85 min,6.7,"Drama, Romance","11,061","After meeting at a local pool over their summer break, a love triangle forms between three adolescent girls, which proves difficult to sustain as they each desire the love of another.","['Céline Sciamma', 'Pauline Acquart', 'Louise Blachère', 'Adèle Haenel', 'Warren Jacquin']",Pauline Acquart
82,A Field in England,2013,90 min,6.3,"Drama, History, Horror","12,088","Amid the Civil War in 17th-century England, a group of deserters flee from battle through an overgrown field. Captured by an alchemist, the men are forced to help him search to find a hidden treasure that he believes is buried in the field.","['Ben Wheatley', 'Julian Barratt', 'Peter Ferdinando', 'Richard Glover', 'Ryan Pope']",Julian Barratt
83,The Name of the Rose,2019– ,60 min,7.0,"Drama, Mystery, Thriller","3,652","In 1327, an enlightened friar and his young apprentice investigate a series of mysterious deaths at an abbey risking the wrath of a powerful Inquisitor. Television adaptation of Umberto Eco's novel 'The Name of the Rose'.","['John Turturro', 'Rupert Everett', 'Damian Hardung', 'Fabrizio Bentivoglio']",Rupert Everett
84,Blood Work,2002,110 min,6.4,"Action, Crime, Drama","43,880","Still recovering from a heart transplant, retired F.B.I. profiler Terry McCaleb (Clint Eastwood) returns to service when his own blood analysis offers clues to the identity of a serial killer.","['Clint Eastwood', 'Clint Eastwood', 'Clint Eastwood', 'Jeff Daniels', 'Anjelica Huston', 'Wanda De Jesus']",Clint Eastwood
85,Drzavni sluzbenik,2019– ,Not given,8.3,"Action, Crime, Drama","2,246","A young, ambitious Serbian Secret Service agent negotiates the dangerous rules of the modern century international spy game","['Milan Maric', 'Nebojsa Dugalic', 'Radovan Vujovic', 'Vaja Dujovic']",Nebojsa Dugalic
86,Jungle Fever,1991,132 min,6.6,"Drama, Romance","17,998",Friends and family of a married black architect react in different ways to his affair with an Italian secretary.,"['Spike Lee', 'Wesley Snipes', 'Annabella Sciorra', 'Spike Lee', 'Ossie Davis']",Wesley Snipes
87,1BR,2019,90 min,5.8,"Drama, Horror, Thriller","10,892","Sarah tries to start anew in LA, but her neighbours are not what they seem.","['David Marmor', 'Nicole Brydon Bloom', 'Giles Matthey', 'Taylor Nichols', 'Alan Blumenfeld']",Nicole Brydon Bloom
88,The House,I 2017,88 min,5.6,"Comedy, Crime","42,748","After the town takes away their daughter's college scholarship, a couple start an illegal casino in their friend's house to make back the money.","['Andrew Jay Cohen', 'Will Ferrell', 'Amy Poehler', 'Ryan Simpkins', 'Jason Mantzoukas']",Will Ferrell
89,Victory,1981,116 min,6.7,"Drama, Sport, War","29,278","As allied P.O.W.s prepare for a soccer game against the German National Team to be played in Nazi-occupied Paris, the French Resistance and British officers are making plans for the team's escape.","['John Huston', 'Michael Caine', 'Sylvester Stallone', 'Pelé', 'Bobby Moore']",Michael Caine
90,Il était une seconde fois,2019– ,192 min,6.2,"Drama, Romance, Sci-Fi",836,"Vincent and Louise were once very much in love, but they split up some months ago. By chance, Vincent comes into possession of a box which allows him to revisit his time with Louise. Will he get a second chance?","['Gaspard Ulliel', 'Freya Mavor', ""Patrick d'Assumçao"", 'Jonathan Manzambi']",Freya Mavor
91,Queer as Folk,I 1999–2000,48 min,8.2,Drama,"6,465","A groundbreaking gay adult drama which chronicles the lives of Stuart and Vince, as well as 15-year-old Nathan, who is in love with Stuart.","['Aidan Gillen', 'Craig Kelly', 'Charlie Hunnam', 'Denise Black']",Craig Kelly
